iter	RMSE
0	12196.799
1	11908.50088
2	11648.70115
3	11390.51873
4	11171.58718
5	10940.55422
6	10710.94259
7	10476.25752
8	10244.22626
9	10025.96427
10	9810.197102
11	9629.808804
12	9418.84266
13	9227.271442
14	9055.779166
15	8895.927281
16	8719.503022
17	8545.678507
18	8376.124394
19	8210.889676
20	8043.420352
21	7889.016476
22	7742.840952
23	7607.199413
24	7467.450765
25	7336.299035
26	7207.910605
27	7089.581809
28	6973.915485
29	6869.898046
30	6759.966835
31	6653.12099
32	6546.747515
33	6452.399065
34	6352.826407
35	6263.688594
36	6180.549501
37	6108.607198
38	6028.371394
39	5959.997658
40	5886.228731
41	5815.970427
42	5742.357101
43	5670.638044
44	5605.01825
45	5554.438447
46	5499.866409
47	5440.941567
48	5380.362898
49	5325.098212
50	5272.627654
51	5227.201553
52	5180.455943
53	5133.6787
54	5088.026068
55	5047.000678
56	5007.848735
57	4963.706941
58	4925.1329
59	4893.038953
60	4859.391907
61	4824.845973
62	4788.941632
63	4760.39108
64	4728.424459
65	4705.566207
66	4680.788126
67	4654.207399
68	4629.485099
69	4600.988285
70	4580.661436
71	4558.290092
72	4544.04346
73	4520.372092
74	4501.419895
75	4478.620284
76	4460.389252
77	4439.061206
78	4417.725774
79	4397.756052
80	4384.732129
81	4365.952945
82	4348.738679
83	4334.140931
84	4321.878166
85	4310.401806
86	4301.138294
87	4290.272709
88	4281.235685
89	4267.415409
90	4255.113862
91	4241.651585
92	4231.839909
93	4219.871032
94	4206.077304
95	4196.495876
96	4184.149917
97	4176.20922
98	4165.432697
99	4157.458184
100	4149.89276
101	4140.662649
102	4133.537429
103	4124.299419
104	4120.042353
105	4109.47283
106	4101.494075
107	4093.689943
108	4084.571249
109	4078.510971
110	4073.350853
111	4065.047367
112	4059.321467
113	4053.616583
114	4050.253625
115	4043.539975
116	4038.239222
117	4030.611474
118	4023.062087
119	4018.145085
120	4013.652241
121	4011.598646
122	4007.083744
123	4001.922544
124	3997.115882
125	3992.479407
126	3987.761668
127	3983.817401
128	3977.204392
129	3972.066366
130	3968.899858
131	3963.032744
132	3957.958393
133	3953.96555
134	3951.086472
135	3945.10549
136	3940.347518
137	3938.168333
138	3935.077658
139	3930.865882
140	3925.262059
141	3920.867086
142	3917.7879
143	3912.943387
144	3909.279278
145	3906.432003
146	3901.243363
147	3895.803471
148	3892.998137
149	3889.576195
150	3885.576816
151	3881.430578
152	3876.11792
153	3872.522101
154	3866.180675
155	3861.230956
156	3856.900926
157	3852.674214
158	3849.805193
159	3843.480557
160	3836.43432
161	3831.262231
162	3827.454559
163	3824.50818
164	3820.652817
165	3817.146158
166	3812.286075
167	3809.194606
168	3805.47794
169	3802.812282
170	3801.873708
171	3798.331371
172	3795.219432
173	3793.1271
174	3789.60447
175	3785.998145
176	3783.437019
177	3776.524723
178	3770.247358
179	3766.610122
180	3763.772046
181	3760.610315
182	3757.758751
183	3755.732974
184	3752.410544
185	3748.771716
186	3744.653133
187	3740.462769
188	3737.04643
189	3735.547086
190	3730.890906
191	3727.799175
192	3724.854071
193	3722.413587
194	3719.632394
195	3716.108917
196	3708.754979
197	3703.196206
198	3698.052728
199	3694.936017
200	3691.636809
201	3687.791542
202	3684.854357
203	3680.873676
204	3679.024038
205	3674.178172
206	3670.856274
207	3667.567018
208	3664.529512
209	3661.748358
210	3657.62673
211	3655.588075
212	3652.37008
213	3651.071905
214	3647.243066
215	3643.770627
216	3642.484345
217	3640.115441
218	3636.557551
219	3635.183962
220	3632.174709
221	3629.992866
222	3626.241583
223	3622.234201
224	3619.460168
225	3614.113891
226	3610.942548
227	3607.526885
228	3605.300374
229	3602.247694
230	3598.46632
231	3593.14694
232	3588.194163
233	3584.768736
234	3581.782398
235	3579.019949
236	3576.429438
237	3574.738991
238	3572.711009
239	3570.953048
240	3566.662606
241	3563.654912
242	3560.83493
243	3557.767105
244	3555.90726
245	3553.492835
246	3549.519738
247	3545.94701
248	3545.121316
249	3542.59089
250	3540.168666
251	3537.249383
252	3535.362291
253	3532.173903
