iter	Passed	Remaining
0	3	3892
1	9	4620
2	14	4805
3	18	4588
4	23	4582
5	28	4661
6	32	4642
7	36	4524
8	41	4556
9	45	4490
10	49	4448
11	53	4424
12	57	4338
13	61	4304
14	64	4262
15	68	4211
16	72	4196
17	76	4151
18	80	4166
19	85	4183
20	89	4183
21	93	4146
22	96	4106
23	100	4097
24	104	4093
25	108	4081
26	112	4059
27	116	4056
28	120	4038
29	124	4018
30	128	4031
31	134	4072
32	141	4153
33	147	4190
34	151	4174
35	154	4147
36	163	4254
37	170	4310
38	176	4340
39	181	4363
40	186	4370
41	192	4383
42	195	4359
43	199	4341
44	203	4318
45	208	4329
46	212	4313
47	216	4295
48	220	4285
49	225	4291
50	230	4282
51	233	4260
52	237	4246
53	241	4235
54	246	4238
55	250	4226
56	254	4210
57	258	4206
58	263	4195
59	268	4207
60	272	4190
61	275	4174
62	279	4160
63	283	4142
64	287	4136
65	291	4121
66	294	4107
67	298	4096
68	302	4080
69	306	4072
70	310	4065
71	315	4069
72	319	4058
73	323	4042
74	326	4031
75	331	4026
76	334	4010
77	338	4001
78	341	3986
79	346	3981
80	349	3969
81	353	3956
82	359	3969
83	363	3962
84	367	3952
85	370	3941
86	374	3930
87	378	3923
88	382	3910
89	386	3903
90	389	3892
91	393	3881
92	398	3881
93	402	3876
94	407	3877
95	410	3867
96	414	3859
97	418	3851
98	422	3847
99	426	3840
100	430	3833
101	435	3831
102	439	3826
103	443	3816
104	447	3810
105	452	3813
106	456	3806
107	460	3803
108	464	3800
109	469	3795
110	473	3791
111	477	3788
112	482	3784
113	486	3777
114	489	3767
115	493	3760
116	498	3759
117	501	3750
118	505	3742
119	509	3739
120	514	3734
121	517	3726
122	521	3716
123	525	3711
124	530	3710
125	534	3704
126	538	3700
127	543	3699
128	546	3691
129	550	3685
130	554	3681
131	558	3673
132	562	3664
133	566	3659
134	570	3653
135	574	3648
136	578	3644
137	582	3635
138	587	3637
139	590	3628
140	595	3626
141	598	3618
142	602	3611
143	606	3604
144	609	3594
145	613	3588
146	618	3586
147	621	3580
148	626	3577
149	630	3573
150	635	3571
151	638	3563
152	642	3556
153	646	3549
154	649	3540
155	653	3533
156	656	3526
157	660	3518
158	664	3512
159	667	3505
160	671	3497
161	674	3491
162	679	3490
163	684	3489
164	689	3487
165	693	3485
166	698	3484
167	703	3483
168	707	3477
169	711	3476
170	716	3473
171	720	3469
172	725	3467
173	731	3470
174	738	3481
175	744	3483
176	748	3478
177	752	3473
178	756	3468
179	760	3463
180	765	3463
181	771	3468
182	775	3462
183	778	3453
184	783	3451
185	786	3443
186	790	3438
187	795	3435
188	799	3430
189	803	3424
190	806	3417
191	811	3414
192	816	3413
193	821	3412
194	825	3409
195	830	3406
196	834	3401
197	838	3394
198	842	3390
199	845	3383
200	849	3376
201	853	3370
202	856	3364
203	861	3363
204	865	3356
205	869	3351
206	874	3349
207	878	3345
208	883	3343
209	887	3337
210	891	3333
211	895	3327
212	899	3323
213	903	3318
214	908	3316
215	912	3313
216	916	3306
217	920	3303
218	925	3300
219	929	3296
220	933	3290
221	936	3283
222	941	3279
223	944	3272
224	948	3267
225	953	3264
226	958	3264
227	962	3258
228	966	3253
229	970	3249
230	974	3244
231	978	3240
232	982	3234
233	986	3228
234	990	3225
235	994	3220
236	998	3215
237	1002	3209
238	1006	3203
239	1010	3198
240	1013	3192
241	1017	3188
242	1021	3182
243	1024	3175
244	1028	3170
245	1032	3164
246	1036	3160
247	1040	3155
248	1044	3149
249	1048	3144
250	1051	3138
251	1055	3132
252	1059	3127
253	1063	3122
254	1067	3120
255	1072	3116
256	1076	3112
257	1080	3107
258	1084	3103
259	1089	3100
260	1092	3094
261	1096	3089
262	1101	3085
263	1105	3081
264	1109	3076
265	1117	3082
266	1122	3081
267	1127	3078
268	1130	3073
269	1136	3071
270	1139	3065
271	1143	3059
272	1146	3054
273	1150	3048
274	1154	3044
275	1158	3039
